Date,Strain,Recovery,Sleep Performance,Max HR,Average HR,Calories,HRV,Resting HR,Time in Bed (hrs),Light Sleep (hrs),REM Sleep (hrs),SWS Deep Sleep (hrs),Total Sleep (hrs),Sleep Cycles
14-Aug-18,6.9,58%,63%,150,62,2270,71,46,6.28,3.35,1.45,0.98,5.78,6
13-Aug-18,11.2,73%,70%,181,67,2873,82,47,7.23,4.28,0.8,1.23,6.31,5
12-Aug-18,11,25%,80%,153,68,3028,44,50,8.28,4.2,0.88,1.42,6.5,4
11-Aug-18,13.3,50%,100%,174,69,3666,65,48,10.02,6.17,1.85,1.42,9.44,9
10-Aug-18,14.3,89%,82%,181,72,3917,92,47,7.3,4.2,0.88,1.22,6.3,7
9-Aug-18,6.5,46%,67%,140,61,2264,61,49,7.38,3.77,0.91,1.72,6.4,
8-Aug-18,11.6,62%,61%,159,70,3185,72,46,7.03,2.95,0.85,1.4,5.2,6
7-Aug-18,7.1,43%,56%,142,61,2296,60,47,6.53,3.7,0.83,0.93,5.46,4
6-Aug-18,13.2,82%,60%,152,73,3912,90,45,6.63,3.55,1.12,0.83,5.5,5
5-Aug-18,8.9,43%,65%,139,65,2657,59,45,7.03,4.18,0.7,0.93,5.81,5
4-Aug-18,14.8,76%,87%,171,72,4022,84,44,6.85,4.37,1.03,1.42,6.82,3
3-Aug-18,6.2,71%,100%,141,57,2163,80,45,10.75,6.78,2.93,0.97,10.68,10
2-Aug-18,11.5,40%,60%,149,66,3111,62,47,5.73,3.23,0.45,1.82,5.5,2
1-Aug-18,7.2,22%,74%,134,61,2345,44,48,7.85,4.82,1.52,0.92,7.26,6
31-Jul-18,12.4,19%,54%,145,69,3485,46,48,6.5,3.67,0.5,0.92,5.09,5
30-Jul-18,13.8,73%,68%,163,67,3728,85,42,6.28,3.37,0.38,1.67,5.42,1
29-Jul-18,9.8,94%,100%,148,61,2682,93,42,8.62,6.01,0.82,1.5,8.33,1
28-Jul-18,7.8,51%,100%,136,58,2452,68,44,11.28,6.97,1.36,2.47,10.8,6
27-Jul-18,7.9,37%,30%,158,65,2245,71,44,2.83,1.58,0.23,0.86,2.67,2
26-Jul-18,8,93%,71%,148,62,2648,95,41,7.01,4.18,0.8,1.58,6.56,4
25-Jul-18,11.5,80%,76%,152,65,3025,83,41,7.47,4.6,0.68,1.52,6.8,4
24-Jul-18,6.8,NA,NA,155,69,1431,NA,NA,NA,NA,NA,NA,NA,NA
23-Jul-18,11.3,64%,71%,168,64,2696,77,45,7.4,3.5,0.67,2.23,6.4,7
22-Jul-18,8.7,86%,76%,148,63,2647,91,45,6.8,3.55,0.65,1.73,5.93,4
21-Jul-18,6.2,72%,99%,142,56,2186,79,44,10.06,6.2,0.8,2.08,9.08,4
20-Jul-18,12.4,46%,78%,186,63,2905,64,45,8.63,4.68,0.67,2.33,7.68,7
19-Jul-18,6.6,61%,46%,137,61,2295,82,44,4.33,2.12,0.23,1.48,3.83,1
18-Jul-18,4.5,47%,87%,121,57,1942,64,46,9.43,5.47,1.48,2.03,8.98,5
17-Jul-18,5.6,43%,35%,136,61,2011,71,45,3.18,2.12,0,0.9,3.02,0
16-Jul-18,10.1,65%,84%,163,63,3007,76,44,8.38,4.72,0.45,1.93,7.1,2
15-Jul-18,7,61%,88%,151,61,2202,72,48,8.03,4.77,1,1.42,7.19,5
14-Jul-18,7.4,90%,93%,137,59,2584,95,48,10.2,6.5,0.72,1.12,8.34,5
13-Jul-18,11.7,28%,81%,166,69,2959,50,54,8.28,4.23,1.87,1.78,7.88,8
12-Jul-18,6.2,65%,50%,144,64,2230,80,47,4.53,2.78,0.58,0.78,4.14,3
11-Jul-18,11.8,52%,93%,173,67,2868,70,46,9.67,5.88,1.88,1.18,8.94,9
10-Jul-18,8.2,74%,61%,170,67,3423,85,44,6.65,3.43,0.53,1.23,5.19,3
9-Jul-18,10.4,62%,88%,162,65,2765,77,45,8.33,5.17,0.92,1.32,7.41,6
8-Jul-18,4.9,58%,87%,143,59,1939,74,48,7.93,4.72,1.27,1.48,7.47,6
7-Jul-18,5.8,47%,85%,140,61,2132,67,46,9.5,5.77,0.95,1.1,7.82,7
6-Jul-18,13.4,79%,72%,167,70,3397,84,45,6.18,3.52,0.7,1.43,5.65,5
5-Jul-18,7.1,74%,100%,142,60,2468,77,46,10.53,6.82,0.75,1.82,9.39,5
4-Jul-18,7.2,65%,76%,153,62,2130,75,50,7.43,4.52,1.12,1,6.64,4
3-Jul-18,6.9,51%,46%,145,62,2463,74,50,4.45,3.38,0.48,0.37,4.23,2
2-Jul-18,15.9,86%,84%,179,71,4372,92,41,8.4,4,0.65,1.9,6.55,5
1-Jul-18,7,79%,100%,145,58,2274,85,43,10.47,6.02,0.95,2.1,9.07,4
30-Jun-18,6.3,63%,80%,150,58,2088,77,44,8.02,5.9,0.85,0.65,7.4,7
29-Jun-18,13.8,47%,73%,173,68,3706,67,45,8.52,4.18,1.5,1.6,7.28,8
28-Jun-18,6.3,32%,43%,143,60,2156,62,56,3.68,2.7,0.5,0.28,3.48,3
